A
MON
MOS
MPC
MPWR
MRK
MRNA
MRO
MS
MSCI
MSFT
MSI
MTB
MTCH
MTD
MU
MUR
MWW
MXIM
MYL
NAVI
NBL
NBR
NCLH
NDAQ
NDSN
NE
NEE
NEM
NFLX
NFX
NI
NKE
NKTR
NLOK
NLSN
NOC
NOV
NOVL
NOW
NRG
NSC
NSM
NTAP
NTRS
NUE
NVDA
NVLS
NVR
NWL
NWS
NWSA
NXPI
NYT
NYX
O
ODFL
ODP
OGN
OI
OKE
OMC
ON
ORCL
ORLY
OTIS
OXY
PANW
PAYC
PAYX
PBCT
PBI
PCAR
PCG
PCG
PCL
PCP
PCS
PDCO
PEAK
PEG
PENN
PEP
PETM
PFE
PFG
PG
PGN
PGR
PH
PHM
PKG
PKI
PLD
PLL
PM
PNC
PNR
PNW
PODD
POM
POOL
PPG
PPL
PRGO
PRU
PSA
PSX
PTC
PVH
PWR
PXD
PYPL
Q
QCOM
QEP
QRVO
QTRN
R
RAI
RCL
RDC
RE
REG
REGN
RF
RHI
RHT
RIG
RJF
RL
RMD
ROK
ROL
ROP
ROST
RRC
RRD
RSG
RSH
RTN
RX
S
SAI
SBAC
SBL
SBNY
SBUX
SCG
SCHW
SE
SEDG
SEE
SGP
SHLD
SHW
SIAL
SIG
SII
SIVB
SJM
SLB
SLE
SLG
SLM
SNA
SNDK
SNI
SNPS
SO
SPG
SPGI
SPLS
SRCL
SRE
STE
STI
STJ
STLD
STR
STT
STX
STZ
SUN
SVU
SWK
SWKS
SWN
SWY
SYF
SYK
symbol
SYY
T
TAP
TDC
TDG
TDY
TE
TECH
TEG
TEL
TER
TFC
TFX
TGNA
TGT
THC
TIE
TIF
TJX
TLAB
TMO
TMUS
TPR
TRB
TRGP
TRIP
TRMB
TROW
TRV
TSCO
TSG
TSLA
TSN
TSS
TTWO
TWC
TWTR
TWX
TXN
TXT
TYL
UA
UAA
UAL
UBER
UDR
UHS
ULTA
UNH
UNM
UNP
UPS
URBN
URI
USB
UTX
V
VAR
VFC
VIAB
VIAC
VICI
VLO
VLTO
VMC
VNO
VNT
VRSK
VRSN
VRTX
VTR
VZ
WAB
WAT
WBA
WCG
WDC
WEC
WELL
WFC
WFM
WFR
WHR
WIN
WLTW
WM
WMB
WMT
WPX
WRB
WRK
WST
WU
WY
WYN
WYNN
X
XEC
XEL
XL
XLNX
XOM
XRAY
XRX
XTO
XYL
YHOO
YUM
ZBH
ZBRA
ZION
ZTS
